"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","test_login","testcases","Mon Sep 16 14:52:07 CST 2024","passed","Mon Sep 16 14:52:07 CST 2024","TestCase","test_case","",""
"","18","test_getRouters","testcases","Mon Sep 16 14:52:07 CST 2024","passed","Mon Sep 16 14:52:07 CST 2024","TestCase","test_case","",""
"","10","test_loginOut","testcases","Mon Sep 16 14:52:07 CST 2024","passed","Mon Sep 16 14:52:07 CST 2024","TestCase","test_case","",""
"","13","test_getInfo","testcases","Mon Sep 16 14:52:07 CST 2024","passed","Mon Sep 16 14:52:07 CST 2024","TestCase","test_case","",""
